#{"t_start": 1766874618.7395964, "env_id": "None"}
r,l,t
-33.414,193,9.5885
-27.257,162,10.648122
-52.749,205,12.108487
-44.545,185,13.38202
-21.381,160,14.766669
-34.732,201,16.895847
-27.869,178,18.306808
-30.053,182,19.60962
-18.436,179,20.901695
-39.191,186,22.137795
-44.322,199,23.525682
-7.124,196,234.590546
-31.995,171,235.765626
-4.355,146,236.768891
-30.835,199,238.177505
-48.73,176,239.465675
-36.612,189,240.82782
-13.233,178,242.038311
-19.179,194,243.404166
-64.699,179,244.713226
-46.965,178,245.915979
-66.272,197,247.271814
-25.37,177,476.484772
-25.757,165,485.245562
-20.739,166,489.297712
-24.799,157,493.165597
-4.838,188,497.592242
-35.785,169,501.660199
-24.818,168,505.822587
-34.217,171,509.954863
-34.239,168,513.938202
-31.249,193,518.70952
-22.872,183,523.115294
-16.194,142,526.749245
-14.324,167,744.115303
-27.445,152,747.662571
-32.147,196,752.457505
-26.832,155,756.236659
-20.731,166,760.300944
-12.328,145,763.779442
-19.156,154,767.539501
-29.154,184,772.04408
-56.552,185,776.619754
-9.119,154,780.294664
-26.906,206,785.157326
-10.776,140,788.56349
-6.09,168,1007.410142
-36.032,164,1013.635717
-15.517,183,1019.037615
-22.843,190,1023.727945
-17.339,169,1027.932235
-8.918,158,1031.795557
-25.803,173,1036.105783
-9.812,156,1039.980285
-15.045,196,1044.824871
-35.722,162,1048.72925
-23.852,179,1052.98317
-22.8,170,1057.18556
-15.733,176,1276.296991
-28.911,186,1280.921348
-29.158,181,1285.25284
-50.758,184,1289.793346
-9.839,171,1293.855196
-41.597,210,1298.797163
-40.652,185,1303.297541
-43.774,186,1307.920786
-11.605,167,1311.950433
-29.884,161,1315.994869
-25.778,194,1320.578133
-19.914,173,1541.129974
-0.734,159,1546.736579
-11.518,160,1551.498749
-54.157,179,1556.187386
-26.654,158,1560.192606
-10.146,165,1564.259155
-6.282,186,1568.794846
-31.048,175,1573.066993
-6.762,163,1577.013545
-23.109,150,1580.623575
-19.294,162,1584.486932
-10.447,158,1588.258092
-19.841,144,1591.743187
-46.891,168,1813.769854
-45.237,229,1819.579637
-80.753,206,1824.672701
-29.417,194,1829.362458
-18.562,156,1833.146535
-50.71,184,1837.352304
-32.521,174,1841.586874
-55.513,168,1845.635935
-15.351,168,1849.649103
-10.442,167,1853.721027
3.399,147,1857.377898
-52.95,181,2081.420049
-12.332,166,2086.530517
-32.318,222,2093.283401
-35.039,164,2097.842309
-44.804,203,2103.347267
-4.304,154,2107.150221
-9.231,170,2111.169307
-19.231,195,2115.865324
-0.113,171,2119.963265
-46.083,180,2124.36258
-16.919,165,2128.342229
-8.545,153,2132.104703
-18.576,178,2354.018238
-41.1,197,2358.680998
-19.996,171,2362.692713
-45.385,180,2367.108086
-16.368,171,2371.211723
-0.544,188,2375.843854
-4.427,198,2380.666292
-34.284,186,2385.160966
-18.026,197,2389.946697
-3.198,183,2394.169057
-22.836,166,2398.21551
-15.529,198,2622.582774
0.405,169,2626.630442
-7.176,166,2630.776259
-12.69,165,2634.762433
-54.311,173,2639.057997
-17.288,192,2643.641315
-6.483,180,2647.975149
-24.269,166,2652.085337
-18.496,171,2656.079981
-31.46,190,2660.617527
-14.547,180,2665.032621
-16.486,171,2669.186102
-13.438,164,2891.045045
4.888,150,2894.699882
-13.154,156,2898.541176
-2.718,172,2902.717401
-14.033,178,2907.047491
-0.837,146,2910.56461
-31.719,182,2914.833681
-24.749,195,2919.615448
-28.51,214,2924.868803
-18.218,197,2929.613313
-33.87,191,2934.277576
-40.655,178,3158.07876
-36.838,174,3162.299572
-4.81,170,3166.302938
-16.533,197,3171.223718
-16.225,174,3175.473661
-59.833,193,3180.162832
-12.836,217,3185.364258
-25.254,189,3189.77169
-9.228,178,3194.163536
-16.481,190,3198.934918
-9.178,182,3203.285228
-47.27,163,3425.003315
-38.485,174,3429.284267
-27.287,224,3434.721558
4.829,165,3438.678686
-4.037,187,3443.124652
-25.428,187,3447.597338
-18.077,183,3452.084544
-11.203,141,3455.555899
-38.54,187,3460.096364
-44.489,204,3465.139246
-3.426,154,3468.92878
-49.564,191,3473.487969
-15.788,192,3697.980279
-12.637,191,3702.552328
-22.883,187,3707.081841
-19.732,195,3711.765304
-2.85,144,3715.110831
-51.779,207,3720.049216
-16.907,191,3724.647709
-2.428,175,3728.997655
-20.972,206,3733.976532
-7.144,165,3737.897303
-13.35,158,3741.662813
-30.428,181,3965.663241
-32.779,164,3969.754357
-38.863,183,3974.1031
-9.726,163,3978.026294
-32.508,171,3982.100485
