#{"t_start": 1765540955.5946598, "env_id": "None"}
r,l,t
1.0,75,1.959206
1.0,70,2.428169
0.0,71,2.911033
0.0,82,3.452806
0.0,74,3.990469
0.0,76,4.515421
0.0,73,5.007473
0.0,81,5.577708
0.0,76,6.091509
0.0,73,6.587108
0.0,82,7.132864
0.0,77,7.638342
1.0,80,8.179965
0.0,81,8.725446
0.0,76,9.270785
0.0,72,9.790404
0.0,85,10.392235
1.0,87,10.982805
0.0,72,11.485718
1.0,91,12.120334
0.0,81,12.676973
0.0,92,13.253989
1.0,82,13.778203
0.0,59,14.168062
0.0,88,14.780637
1.0,70,15.275067
1.0,64,55.656339
1.0,107,67.107841
0.0,87,69.454928
1.0,68,71.130104
0.0,76,72.87552
1.0,65,74.403045
0.0,83,76.35713
0.0,81,78.234061
0.0,71,79.870448
0.0,75,81.636109
0.0,77,83.334023
0.0,85,85.436505
1.0,75,87.364495
0.0,69,89.06713
1.0,92,91.307337
1.0,68,92.818535
0.0,87,95.015203
1.0,79,96.863413
0.0,67,98.517026
0.0,74,100.330182
0.0,71,102.14101
1.0,79,103.993157
1.0,75,105.973775
0.0,89,108.263459
0.0,73,110.171193
1.0,79,112.155721
0.0,78,152.220705
0.0,81,155.217678
1.0,72,157.480776
0.0,63,159.471846
1.0,75,161.581323
0.0,69,163.248799
0.0,64,164.8549
0.0,91,167.463461
1.0,67,169.423202
0.0,83,171.807187
0.0,73,173.635549
1.0,83,175.863741
0.0,69,177.913434
0.0,62,179.662201
1.0,80,181.670437
0.0,75,183.597905
0.0,63,185.206262
0.0,68,186.934047
0.0,62,188.618432
0.0,72,190.558664
0.0,86,192.762492
1.0,63,194.51644
1.0,80,196.601013
1.0,67,198.515932
0.0,68,200.398033
0.0,70,202.270601
0.0,68,204.203876
0.0,84,206.507859
0.0,70,246.232887
1.0,72,248.815732
0.0,72,251.132164
1.0,87,253.595164
0.0,65,255.520955
0.0,86,258.001875
0.0,77,260.174665
1.0,76,262.054592
1.0,81,264.238589
0.0,83,266.45432
0.0,75,268.615241
1.0,74,270.871539
0.0,77,273.051997
0.0,65,274.98196
1.0,72,276.892531
0.0,68,278.651135
0.0,69,280.618474
0.0,73,282.570692
1.0,70,284.748955
0.0,88,287.10872
0.0,77,289.213378
0.0,76,291.503808
1.0,64,293.276472
0.0,79,295.427995
0.0,69,297.2993
1.0,63,298.979375
0.0,73,300.947978
0.0,70,303.029373
0.0,70,342.570719
0.0,75,345.154841
0.0,86,347.804475
0.0,68,349.661632
0.0,74,351.706372
1.0,65,353.495798
0.0,68,355.610764
1.0,83,358.008678
0.0,70,360.078671
1.0,68,362.015974
0.0,76,364.383605
1.0,61,366.097101
1.0,79,368.246998
0.0,75,370.113883
0.0,82,372.561974
0.0,64,374.24682
0.0,63,375.859411
0.0,74,377.979072
1.0,72,380.045512
1.0,82,382.44533
0.0,68,384.247809
0.0,77,386.54591
0.0,68,388.449072
0.0,67,390.385
0.0,78,392.595507
0.0,67,394.454719
0.0,71,396.417734
0.0,74,398.461105
