#{"t_start": 1765545497.7588556, "env_id": "None"}
r,l,t
0.0,76,1.176019
0.0,88,1.335356
0.0,77,1.490914
0.0,77,1.644619
0.0,78,1.795028
0.0,80,1.951295
0.0,73,2.104577
0.0,84,2.272224
0.0,76,2.411851
0.0,69,2.542959
0.0,73,2.693085
0.0,72,2.822271
1.0,71,2.963644
0.0,78,3.107977
0.0,96,3.287412
0.0,84,3.449056
1.0,80,3.606363
0.0,75,3.742002
1.0,70,3.880626
0.0,86,4.046788
1.0,77,4.192325
0.0,72,4.329462
0.0,85,4.518142
1.0,77,4.672279
0.0,76,4.831434
1.0,75,4.973545
0.0,84,7.122472
1.0,81,7.295116
0.0,78,7.44727
0.0,75,7.586403
1.0,90,7.762351
1.0,75,7.908461
0.0,72,8.055602
1.0,74,8.194069
1.0,86,8.426331
1.0,78,8.580019
0.0,80,8.722206
0.0,74,8.865908
0.0,81,9.026038
1.0,72,9.162934
0.0,70,9.302289
0.0,71,9.435149
0.0,84,9.610646
0.0,74,9.753801
0.0,63,9.878742
0.0,73,10.019855
0.0,78,10.164134
0.0,80,10.310478
0.0,68,10.446672
1.0,71,10.576838
1.0,77,10.725911
1.0,85,10.88595
0.0,83,13.093496
0.0,67,13.217905
0.0,84,13.41416
1.0,82,13.574517
1.0,79,13.739006
0.0,79,13.89327
0.0,65,14.016416
1.0,82,14.171792
1.0,70,14.308081
0.0,61,14.433224
0.0,69,14.571517
0.0,68,14.709598
0.0,86,14.876769
1.0,92,15.062295
0.0,69,15.195118
0.0,64,15.319858
0.0,71,15.458737
0.0,65,15.576252
0.0,80,15.732714
0.0,69,15.869488
0.0,75,16.01482
1.0,82,16.177518
1.0,87,16.342654
0.0,89,16.516607
0.0,80,16.675772
0.0,76,16.825527
1.0,67,16.94713
0.0,76,17.088246
0.0,82,19.281165
1.0,71,19.424643
0.0,79,19.574737
0.0,76,19.725852
0.0,78,19.871479
0.0,86,20.04323
1.0,83,20.226896
1.0,69,20.372595
0.0,65,20.491699
0.0,68,20.613809
1.0,81,20.759926
0.0,76,20.910069
0.0,76,21.051684
0.0,80,21.208887
0.0,79,21.379543
1.0,84,21.545234
0.0,74,21.680352
1.0,81,21.848614
0.0,79,22.0126
0.0,75,22.170815
0.0,79,22.325707
1.0,80,22.4735
1.0,90,22.650944
0.0,76,22.796079
0.0,70,22.922384
0.0,76,23.068157
0.0,89,25.170234
0.0,70,25.316991
1.0,83,25.485981
0.0,76,25.632113
0.0,80,25.788718
1.0,73,25.943394
1.0,70,26.078502
